starttime	seconds	ctime	dtime	ttime	wait
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	0
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	0
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	0
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	0
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	0
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	0
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	0
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	0
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	0
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:59 2022	1667252399	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	1	1	1	1
Mon Oct 31 17:39:58 2022	1667252398	0	1	1	1
